slug,url,model,brand,collection,price_value,price_currency,terrain,use_case,release_year,date_published,pronation_support,arch_type,strike_pattern,pace_recommendation,features_special,season,widths_available,material,type_tags,condition,stack_height_mm_heel,stack_height_mm_forefoot,drop_mm,midsole_softness_HA,midsole_softness_in_cold_HA,midsole_softness_in_cold_pct,shock_absorption_SA_heel,shock_absorption_SA_forefoot,energy_return_pct_heel,energy_return_pct_forefoot,weight_g,width_fit_mm_new,width_fit_mm_old,toebox_width_mm_new,toebox_width_mm_old,toebox_height_mm,platform_width_mm_forefoot,platform_width_mm_heel,breathability_score,traction_wet_score,flexibility_force_N,flexibility_force_N_old,stiffness_in_cold_N,cold_stiffness_change_pct,durability_toebox_score,durability_heel_score,durability_outsole_wear_mm,outsole_thickness_mm,outsole_hardness_HC,insole_thickness_mm,tongue_padding_mm,tongue_gusset,heel_tab,removable_insole,orthotic_friendly,breathability_rating,torsional_rigidity_rating,heel_counter_stiffness_rating,reflective_elements,audience_verdict_raw,audience_score,verdict_summary,pros,cons,who_should_buy,who_should_not_buy,price_usd
salomon-aero-glide-2,https://runrepeat.com/salomon-aero-glide-2,Salomon Aero Glide 2,Salomon,,3072740.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear,,2024-09-24T15:23:12+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,Daily running,Orthotic friendly|Sockless wear|Cushioned|Removable insole|Rocker,All seasons,Normal,Mesh|Reflective,Breathable|Maximalist,Shin splints,35.5 mm,24.2 mm,11.3 mm,22.5 HA,26.9 HA,20%,118 SA,,50.7%,,268.0,,99.8 mm,,76.4 mm,,120.6 mm,97.5 mm,4,0.47,16.9N,24.4N,30.9N,27%,4,3,1.1 mm,3.4 mm,81.9 HC,4.1 mm,7.9 mm,None,None,Yes,True,4.0,5.0,3.0,Yes,Audience verdict 93 Superb! Top 2% in road running shoes Top 5% in Salomon running shoes,93,"The Salomon Aero Glide 2 excels as a no-frills option—comfortable, stable, and well-crafted, ticking all the boxes for a dependable daily trainer that delivers consistent performance throughout the year.",360-degree reflectivity|Lightweight for its size|Enhanced upper|Superbly stable|Ideal for heel strikers|Well-protected outsole|Masters daily mileage with ease|Great for winter too!,Excessively rigid|Still lacks a gusseted tongue|Lower-than-expected stack height|Midsole feels flat,"An exceptional upgrade for fans of the original, enhancing the upper while maintaining the same versatility.|An ideal daily trainer for those who prefer a high heel-to-toe drop, providing rearfoot strikers with the support they need.|A perfect road companion for enthusiasts of Salomon’s trail shoes, offering a seamless and stable transition to road running.","We think the Aero Glide 2 falls short for runners seeking flexibility in a daily trainer. Its rigid build makes it really difficult to twist. In our experience, this might not be ideal for your daily runs if you're after a natural ride. Get the Brooks Ghost 16 or the Altra Experience Flow instead.|Additionally, we believe this model isn't the best choice for forefoot and midfoot strikers, as its high 11.3 mm drop doesn't cater to those running styles. If you're looking for a low-drop shoe, we recommend the ASICS Noosa Tri 16 or the New Balance Fresh Foam More v5 instead.",184.66
mizuno-wave-sky-8,https://runrepeat.com/mizuno-wave-sky-8,Mizuno Wave Sky 8,Mizuno,Mizuno Wave|Mizuno Wave Sky,3648880.0,IDR,Road,Jogging|Walking|All-day wear,,2024-09-17T14:04:29+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal|Wide,Knit|Reflective,For big guys|Maximalist,Shin splints,40.7 mm,30.7 mm,10.0 mm,14.0 HA,18.5 HA,32%,141 SA,,56.5%,,271.0,97.0 mm,99.7 mm,75.0 mm,77.7 mm,25.5 mm,114.2 mm,93.5 mm,3,0.34,14.6N,22.1N,27.9N,26%,4,4,1.8 mm,5.0 mm,77.5 HC,5.4 mm,9.9 mm,Both sides (semi),Extended heel collar,Yes,True,3.0,3.0,3.0,Yes,Audience verdict 91 Superb! Top 8% in road running shoes Top 23% in Mizuno running shoes,91,"Mizuno enjoys standing out with unique designs, and the Wave Sky 8 follows that trend.",Reduced weight from v7|Softer midsole|All-around comfort|Ideal for long-distance runs|Perfect for heel strikers|Maximalist yet lightweight design|High-quality upper|Great for winter,Needs better breathability|Not very stable|Outsole lacks durability and grip|Price may deter some,"Perfect for neutral runners seeking a high-quality daily trainer that offers a premium feel and a plush ride.|An excellent choice for marathoners—especially those in colder climates—who desire endless cushioning for long runs.|A solid upgrade for fans of the previous Wave Sky models, as it significantly enhances the features of its predecessor while keeping its signature look and feel.","If there's a drawback to the Wave Sky 8, it’s stability—its towering design lacks dedicated support, making it ideal only for neutral runners. From our testing, we feel it's not the go-to for anyone seeking a stable ride despite its premium features. If stability and maximum cushioning are what you're after, you might want to explore the ASICS Superblast 2 or the New Balance Fresh Foam More v5 .|Concerning price, the Mizuno Wave Sky 8 approaches the $200 mark, which could stretch some budgets. We believe there are more wallet-friendly alternatives that don't sacrifice comfort or performance. For instance, the ASICS Novablast 4 provides similar plush cushioning at a more reasonable price.",219.29
puma-forever-run-nitro,https://runrepeat.com/puma-forever-run-nitro,PUMA ForeverRun Nitro,PUMA,PUMA Nitro,3072740.0,IDR,Road,Hyrox|Jogging|Treadmill|Walking|All-day wear,,2024-09-15T15:03:23+00:00,Overpronation,Low arch,Heel strike|Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal,Mesh|Reflective,Breathable|Maximalist,Flat feet|Shin splints,36.1 mm,26.1 mm,10.0 mm,19.1 HA,22.8 HA,19%,133 SA,,59.8%,,274.0,,97.9 mm,,77.9 mm,,121.3 mm,101.8 mm,4,0.61,12.8N,22.6N,31.5N,40%,3,2,1.8 mm,4.5 mm,75.3 HC,5.3 mm,5.3 mm,Both sides (semi),Finger loop,Yes,True,4.0,3.0,2.0,Yes,Audience verdict 94 Superb! Top 1% in road running shoes Top 7% in PUMA running shoes,94,"If you're looking to break from the mainstream, the PUMA ForeverRun Nitro could be your go-to stability daily trainer.",Special insole|Exceptional grip|Supercritical foam|Non-intrusive stability design|Packed with innovative features|Surprisingly lightweight for its build|Comfortable for daily miles|Great for heel strikers|Awesome tongue,Fast-wearing outsole|Low-volume forefoot|Risk of heel slippage,"Prefer a well-cushioned and stable daily trainer that feels surprisingly light for its size.|Require a stability shoe that offers both bouncy foam and exceptional grip.|Don’t wear out outsoles quickly and prefer a high-drop option for daily training, including long runs.","The ForeverRun Nitro from PUMA presents a 10-mm drop that might not appeal to everyone—forefoot strikers, in particular, might find it less than ideal. If this is a concern for you, we suggest exploring alternatives like the Hoka Arahi 7 or the Saucony Guide 17 , both of which offer excellent stability without the elevated offset.|Additionally, we've noted that runners who typically see wear in the interior medial part of the midfoot might find the ForeverRun Nitro's outsole problematic. For those encountering this issue often, we recommend the ASICS Gel Kayano 31 . This model features ample rubber coverage on the medial side, providing enhanced durability.",184.66
new-balance-fuel-cell-super-comp-trainer-v-3,https://runrepeat.com/new-balance-fuel-cell-super-comp-trainer-v-3,New Balance FuelCell SuperComp Trainer v3,New Balance,New Balance Fuelcell|New Balance Fuelcell Supercomp,4801160.0,IDR,Road,Treadmill,,2024-09-04T16:15:57+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Tempo,Orthotic friendly|Cushioned|Carbon plate|Removable insole|Rocker,All seasons,Normal|Wide,Mesh,Breathable|Maximalist,,36.8 mm,29.5 mm,7.3 mm,8.8 HA,11.1 HA,27%,144 SA,,66.1%,,278.0,95.9 mm,99.8 mm,73.5 mm,78.8 mm,25.9 mm,117.7 mm,90.0 mm,4,0.51,25.1N,36.8N,46.1N,25%,1,4,1.1 mm,3.0 mm,68.4 HC,2.9 mm,3.3 mm,Both sides (semi),None,Yes,True,4.0,5.0,3.0,No,Audience verdict 85 Good! Top 10% most popular running shoes,85,"The SC Trainer v3 is New Balance's latest iteration aimed at perfecting the series, and we think they're finally on the right track.","Reasonably priced|Ultra-soft, responsive midsole|Includes a carbon plate|Ideal for marathon training|Great stability|Premium upper delivers great fit|Fantastic for midfoot strikers|Solid traction",Increased weight|Still not 100% PEBA foam|Midsole groove traps pebbles|Upper durability,"Ideal for enthusiasts of the SC Elite v4 looking for a durable, more affordable training shoe that retains a familiar feel.|Perfect for marathoners in search of a carbon-plated, plush shoe suitable for fast workouts and long runs—at a price point well below many high-end supertrainers.|A great option for runners who were less impressed with earlier versions, as we've noted significant improvements making this the best iteration yet.","Despite upgrades from version 1 & 2 and an all-new PEBA-blend midsole, we found that the SC Trainer v3 falls short in energy return compared to other supertrainers. For those concerned about this aspect, we recommend considering the Saucony Endorphin Speed 4 or the ASICS Superblast 2 , as both offer superior bounce with every stride.|Additionally, our lab tests showed that the SC Trainer v4's weight is a bit higher than ideal, which could deter some runners from opting for this model. If you're looking for a lighter option that still includes the benefits of a carbon plate, the ASICS Magic Speed 4 could be a more suitable supertrainer that also offers more stack height.",288.53
adidas-adizero-sl2,https://runrepeat.com/adidas-adizero-sl2,Adidas Adizero SL2,Adidas,Adidas Adizero|Adidas Lightstrike,2496600.0,IDR,Road,Hyrox|Jogging|Treadmill|For beginners,,2024-09-03T16:22:11+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running|Tempo,Orthotic friendly|Cushioned|Removable insole,Summer|All seasons,Normal|Wide,Mesh,Breathable|Comfortable|Lightweight,,34.9 mm,26.7 mm,8.2 mm,20.1 HA,21.1 HA,5%,136 SA,,56.1%,,245.0,98.3 mm,101.8 mm,71.7 mm,77.6 mm,26.2 mm,113.0 mm,82.4 mm,5,0.69,12.7N,22.8N,27.1N,19%,1,5,1.1 mm,3.6 mm,79.8 HC,3.4 mm,12.7 mm,None,Pull tab,Yes,True,5.0,3.0,2.0,No,Audience verdict 90 Great! Top 14% in road running shoes Top 22% in Adidas running shoes,90,"The Adidas Adizero SL2 presents a distinctive approach as a daily trainer, diverging notably from current market trends.",Lightweight|Enhanced with more Lightstrike Pro superfoam|Suits various running paces|Can double as a racer for beginners|Spacious fit|Highly breathable|Excellent value|Surprisingly plush upper|Grippy even in rain,Tongue design needs enhancement|Outsole durability|Not very stable|Not the best for heel strikers,"Anyone seeking a lightweight running shoe versatile enough for any kind of run, including track workouts.|Fans of the original SL2 who crave a more responsive midsole without sacrificing the beloved fit and affordability.|Neutral runners who prioritize speed and agility over stability in their daily running shoe.","We do not recommend the Adidas Adizero SL2 for those in search of a maximalist daily trainer with ample cushioning, particularly heavier runners. Our lab tests indicate that the ASICS Novablast 4 offers superior cushioning and is a better choice for those concerned with comfort that are seeking a lightweight running shoe.|Additionally, the SL2’s midsole might let down runners expecting full-length Lightstrike Pro. Fortunately, Adidas has two solid alternatives that deliver exactly that—the Adizero EVO SL and the Adizero Adios 9 .",150.04
saucony-hurricane-24,https://runrepeat.com/saucony-hurricane-24,Saucony Hurricane 24,Saucony,Saucony Hurricane,3456830.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear,,2024-08-29T16:20:09+00:00,Overpronation,Low arch,Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole,Summer|All seasons,Normal|Wide,Vegan|Mesh|Reflective,Breathable|Maximalist,Flat feet|Shin splints,40.5 mm,34.2 mm,6.3 mm,12.5 HA,17.1 HA,37%,142 SA,,59.8%,,315.0,97.9 mm,102.0 mm,73.7 mm,79.9 mm,26.6 mm,127.9 mm,103.1 mm,5,0.49,17.9N,30.2N,34.1N,13%,1,2,1.0 mm,2.8 mm,85.0 HC,6.7 mm,8.4 mm,None,Finger loop,Yes,True,5.0,4.0,3.0,Yes,Audience verdict 87 Great! Top 19% most popular running shoes,87,"The Saucony Hurricane 24 is a powerhouse, offering superior stability, energy return, and cushioning.",Incredibly stable ride|Comfortable and plush upper|Excellent build quality|Spacious toebox|Breathable|Fantastic value|360-degree reflectivity|Compatible with all footstrikes|Amazing shock absorption!,Non-gusseted tongue|Upper lacks durability|Could be a touch lighter|Not ideal for narrow feet,"Want a maximalist yet stable daily trainer and weight isn't a concern.|Need a stability shoe that combines world-class cushioning.|Are looking for a supportive shoe with a comfortable, roomy upper that feels premium from top to bottom.","In our lab, we found the durability of the Hurricane 24's upper to be lacking, which may be a significant drawback for runners prone to wearing out their shoes quickly. If durability is a concern, we do not recommend this model and suggest considering the ASICS Gel Kayano 31 .|We also think the Hurricane 24's weight might be a dealbreaker for those who prefer lighter shoes. If you don’t require extensive support, we believe the Triumph 22 and the Guide 17 are better alternatives inside Saucony. Additionally, we recommend the Hoka Arahi 7 for those who want a more compact shoe without sacrificing stability.",207.74
hoka-skyflow,https://runrepeat.com/hoka-skyflow,Hoka Skyflow,HOKA,,3264790.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear,,2024-08-29T09:54:02+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole,Summer|All seasons,Normal|Wide,Mesh|Reflective,Breathable|Maximalist,Shin splints,39.3 mm,30.6 mm,8.7 mm,19.4 HA,24.3 HA,25%,133 SA,,58.1%,,282.0,94.3 mm,98.6 mm,69.5 mm,77.7 mm,27.1 mm,116.3 mm,94.7 mm,5,0.47,18.7N,31.2N,42.3N,36%,3,5,0.8 mm,3.3 mm,79.3 HC,5.1 mm,9.6 mm,Both sides (semi),Finger loop,Yes,True,5.0,4.0,4.0,Yes,Audience verdict 89 Great! Top 21% in Hoka running shoes Top 28% in running shoes for walking,89,"We found the Hoka Skyflow to be a well-rounded daily trainer that performs admirably across the board—durability, cushioning, stability, comfort, and value.",Great all-around performance|Enhanced midsole from Clifton|Versatile across multiple distances|Solid stability|Durable construction|Breathable and comfortable upper|Secure lockdown|Grips very well,Limited flex|Could be a bit lighter|Not the best for walking,"Runners who like other Hoka daily trainers but seek more cushioning underfoot, a roomier fit, or both.|Those who found previous Hoka trainers like the Bondi lacking in energy return, as this model features a new supercritical midsole for a more responsive ride.|Anyone in need of a highly cushioned yet stable daily trainer that excels on both short and long-distance runs.|Hoka fans drawn to the innovative Skyward X who prefer a similar, more affordable option without a plate.","We think that runners who prefer a lightweight feel in their daily trainers might be disappointed with the Skyflow—it's simply too heavy to fit into that category. Fortunately, there are plenty of alternatives on the market, such as the Hoka Mach 6 , which is also more affordable and shares the same foam, or the ASICS Superblast 2 for those willing to spend a bit more in a premium shoe.|In our view, the Skyflow may also not be the best option for those seeking an ultra-plush running experience. For a softer feel, we suggest exploring New Balance options like the 1080 v13 or the maximalist More v5 , both featuring cloud-like Fresh Foam X midsoles.",196.2
new-balance-fresh-foam-x-more-v5,https://runrepeat.com/new-balance-fresh-foam-x-more-v5,New Balance Fresh Foam X More v5,New Balance,New Balance Fresh Foam|New Balance Fresh Foam X|New Balance Fresh Foam X More,3264790.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear,,2024-08-28T21:05:27+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole|Rocker,Summer|All seasons,Normal|Wide|X-Wide,Mesh|Reflective,Breathable|Maximalist,Shin splints,42.1 mm,34.3 mm,7.8 mm,8.6 HA,11.8 HA,37%,156 SA,,53.6%,,308.0,93.2 mm,98.0 mm,70.7 mm,75.9 mm,24.4 mm,124.6 mm,105.0 mm,5,0.55,18.1N,30.6N,38.4N,26%,3,3,0.7 mm,3.2 mm,81.0 HC,3.7 mm,9.1 mm,Both sides (semi),None,Yes,True,5.0,4.0,4.0,Yes,Audience verdict 87 Great! Top 1% most popular running shoes,87,"The New Balance Fresh Foam X More v5 has an endless name matched by its endless cushioning, finally making it a true maximalist running shoe.",Exceptional all-around comfort|Ultra-plush cushioning|Ideal for slow long runs|Great cushion-to-price ratio|Remarkable stability for its size|Superb lockdown|Durable and high-grip outsole|Well-designed rocker geometry|Lots of improvements from v4|Dependable grip,Heavier than its predecessor|Snug fit|Maybe even too plush!|A bit stiff for casual wear,"Perfect for anyone searching for an ultra-soft yet stable running shoe—there's truly nothing quite like the More v5!|Ideal for fans of the 1080 v13 who loved its plush feel but craved even more cushioning and stability.|Great for runners who desire as much foam as possible underfoot, allowing for slow, recovery-paced runs after intense workout sessions.","We've thoroughly tested the New Balance Fresh Foam X More v5 and found that its super-soft midsole significantly lacks energy return, making it less enjoyable for faster paces. We believe there are better choices for those seeking a responsive max-cushioned shoe, such as the ASICS Novablast 4 or the Saucony Triumph 22 .|In our lab tests, we also found that the upper is somewhat restrictive, which could be an issue for runners whose feet tend to swell or feel pressure. We don't recommend the More v5 for those individuals. Instead, we suggest considering the ASICS Gel Kayano 31 , which provides ample room and also features generous cushioning underfoot.",196.2
nike-interact-run,https://runrepeat.com/nike-interact-run,Nike Interact Run,Nike,,1728420.0,IDR,Road,Jogging|Treadmill|Walking,,2024-08-19T14:46:29+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike|Forefoot|Midfoot strike,Daily running,Orthotic friendly|Removable insole|Sustainable,Summer|All seasons,Normal,Knit,Breathable|Lightweight,,29.7 mm,20.4 mm,9.3 mm,20.8 HA,26.0 HA,25%,108 SA,,54.2%,,241.0,96.9 mm,98.8 mm,71.2 mm,77.7 mm,27.9 mm,115.3 mm,91.5 mm,5,0.21,12.6N,14.4N,19.4N,35%,5,4,1.7 mm,3.3 mm,89.8 HC,3.4 mm,9.0 mm,None,Finger loop,Yes,True,5.0,3.0,3.0,No,Audience verdict 89 Great! Top 26% in Nike running shoes Top 27% in running shoes for walking Top 29% most popular running shoes,89,"The Nike Interact Run marks a milestone as the first sub-$100 Nike with a Flyknit upper, a feature once exclusive to premium models.",Ideal for hot climates|Perfect for everyday life|Exceptional comfort|Fantastic value|Great for beginners and heel strikers|Flyknit upper under $100!|Really lightweight|Upper durability,Not very bouncy﻿|Outsole lacks grip|Only for short and easy runs,"Value a plush upper over all else—the Interact Run is the first Nike shoe priced under $100 to feature Flyknit, making it an exceptional deal.|Want a budget-friendly running shoe suitable for 2 or 3 casual runs per week that can also double as daily wear.|Are new to running and want a first shoe that offers high-quality materials without breaking the bank.","We think that the Interact Run's midsole is its Achilles' heel. While not disastrous, it lacks the cushioning and energy return some runners seek. For a similar price, better alternatives exist—such as the Saucony Axon 3 or the Brooks Revel 7 .|Furthermore, we do not recommend the Interact Run for runners with even mild stability needs. In our experience, shoes like the ASICS GT 1000 13 or the ASICS Gel Pulse 15 offer way more support at a competitive price, making them a wiser choice for those without a pristine neutral form.",103.87
new-balance-fresh-foam-680-v8,https://runrepeat.com/new-balance-fresh-foam-680-v8,New Balance Fresh Foam 680 v8,New Balance,New Balance Fresh Foam,2208540.0,IDR,Road,Hyrox|Jogging|Treadmill|Walking|All-day wear,,2024-08-17T16:38:03+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole,Summer|All seasons,Men: Normal|Wide|X-Wide|Women: Normal,Mesh,Breathable|Maximalist,,35.4 mm,27.6 mm,7.8 mm,16.3 HA,22.8 HA,40%,124 SA,,61.2%,,261.0,95.3 mm,99.2 mm,72.6 mm,79.1 mm,26.2 mm,113.9 mm,89.6 mm,5,0.51,9.0N,16.6N,19.8N,20%,4,4,0.7 mm,3.5 mm,83.6 HC,4.7 mm,6.4 mm,None,None,Yes,True,5.0,2.0,3.0,No,Audience verdict 84 Good! Top 5% most popular running shoes,84,"In the fiercely competitive entry-level market, we think New Balance is really going for the top spot with the 680 v8.",Highly breathable upper|Exceptionally durable|Outstanding value|Optimal weight-to-cushioning ratio|Comfortable tongue|Fits all footstrikes|Ready for daily wear|Fresh Foam midsole|Effective lacing system,Not for speedwork|Limited to neutral runners,"Beginners or weekend warriors seeking a plush daily trainer that doesn't break the bank.|Neutral runners looking for a versatile shoe suitable for both easy runs and daily wear.|Anyone eyeing the luxurious New Balance Fresh Foam X 1080 v13 but needing a more affordable alternative—the 680 v8 is the easy-on-the-wallet version!|Marathoners wanting a durable, cost-effective addition to their rotation for recovery days.","We think the New Balance 680 v8 caters to a broad audience but the midsole may feel overly plush for some runners. If that's you, we suggest exploring alternatives like the Nike Downshifter 13 for a balanced feel or the Adidas Supernova 3 for a firmer experience.|From our evaluation, we do not recommend the 680 v8 for runners who require stability—its higher midsole and lack of stability features render it unsuitable for those without a perfect neutral form. Instead, we believe there are better choices, such as the ASICS GT 1000 13 or the Saucony Tempus , which are designed to provide the necessary support for those with stability concerns.",132.73
altra-experience-flow,https://runrepeat.com/altra-experience-flow,Altra Experience Flow,Altra,,2880700.0,IDR,Road,Jogging|Treadmill|Walking|All-day wear,,2024-08-13T08:37:26+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Daily running,Orthotic friendly|Cushioned|Removable insole,All seasons,Normal,Mesh|Reflective,Breathable|Comfortable|Low drop|Lightweight,Knee pain|Bunions,30.7 mm,26.6 mm,4.1 mm,19.1 HA,23.6 HA,24%,117 SA,,46.1%,,235.0,98.5 mm,101.0 mm,80.6 mm,87.6 mm,29.0 mm,118.4 mm,93.2 mm,4,0.53,13.5N,20.6N,28.9N,40%,5,4,1.2 mm,2.5 mm,78.8 HC,4.7 mm,9.3 mm,None,Extended heel collar,Yes,True,4.0,3.0,3.0,Yes,Audience verdict 88 Great! Top 22% in Altra running shoes Top 21% most popular running shoes,88,Altra is widening its appeal by introducing 4-mm drop options alongside its classic zero-drop lineup—and we believe they've struck gold with the Experience Flow.,"Broad appeal for various runners|Exceptionally light|Comfortable, durable upper|Spacious foot-shaped toebox|Ideal as a travel shoe|Superior stability|Highly breathable|Fairly priced|Dependable grip",Lacks energy return|Not for fast paces at all|Non-gusseted tongue,"Runners previously hesitant about Altra's zero-drop design, now welcoming the new low-drop option that makes it accessible to more runners.|Altra enthusiasts who've experienced calf or Achilles discomfort, as they will find the slightly higher drop beneficial while still enjoying the roomy foot-shaped toebox.|Those with wide feet, as this low-drop, spacious daily workhorse also doubles as an excellent choice for travel or everyday wear.","The Altra Experience Flow marks a significant step forward for the brand, opening doors to new enthusiasts who were previously deterred by the zero-drop design.|However, it's not without its flaws—the EVA midsole's lack of energy return is noticeable, particularly when compared to peers like the ASICS Novablast 4 or the Hoka Mach 6 . For those comfortable with a higher drop and narrower toebox, both alternatives offer a more dynamic experience.|Additionally, we found that purists who favor zero-drop and minimal cushioning might not find the Experience Flow appealing. We suggest they consider the Altra Escalante 4 , which stays true to Altra's classic design and better suits their preferences.",173.12
brooks-hyperion-max-2,https://runrepeat.com/brooks-hyperion-max-2,Brooks Hyperion Max 2,Brooks,Brooks Hyperion,3264790.0,IDR,Road,Hyrox,,2024-08-12T14:16:05+00:00,Neutral Pronation|Supination|Underpronation,High arch,Forefoot|Midfoot strike,Tempo,Orthotic friendly|Cushioned|Removable insole|Rocker,All seasons,Normal,Mesh,,,33.2 mm,26.4 mm,6.8 mm,20.9 HA,24.8 HA,19%,130 SA,,57.0%,,262.0,94.8 mm,96.3 mm,73.7 mm,79.5 mm,26.6 mm,114.0 mm,86.4 mm,3,0.46,22.4N,29.6N,34.6N,17%,3,3,0.8 mm,3.0 mm,72.0 HC,2.8 mm,1.9 mm,Both sides (semi),Extended heel collar,Yes,True,3.0,4.0,3.0,No,Audience verdict 88 Great! Top 29% in Brooks running shoes Top 18% most popular running shoes,88,"The Brooks Hyperion Max 2 is a notable upgrade, ideally pairing with any racing shoe for training.",Enhanced stability|Better durability|Improved midsole|Ready for long runs|Amazing for tempo workouts|Finally comes with a gusseted tongue|Comfortable for easy paces|Premium notched laces,Still lacks energy return|Significant increase in weight|Limited breathability|Minor price increase from v1,"Fans of the Brooks Hyperion Elite 4 seeking a dependable training companion for long runs and tempo training, as it features the same midsole technology and offers a similar ride.|Midfoot and forefoot strikers in search of a stable shoe versatile enough for everything from easy long runs to intense interval workouts.|Runners who prefer a plated shoe but want to steer clear of max-stacked models and carbon plates, finding this option more grounded and flexible.","We found that the Hyperion Max 2 has undergone significant changes from its predecessor—however, not all modifications have proven beneficial. In our experience, the shoe has gained too much weight, which might not appeal to everyone, particularly those looking for lighter tempo trainers like the Saucony Endorphin Speed 4 .|Additionally, at a price point of $180, we believe a top-tier foam should be expected, yet the DNA Flash v2 does not meet this criteria for us. For runners seeking the ultimate in energy return within a performance trainer, we suggest alternatives like the ASICS Superblast 2 or the PUMA Deviate Nitro 3 .",196.2
adidas-ultraboost-5,https://runrepeat.com/adidas-ultraboost-5,Adidas Ultraboost 5,Adidas,Adidas Ultraboost,3456830.0,IDR,Road,Hyrox|Jogging|Treadmill|Walking|All-day wear,,2024-08-11T10:38:45+00:00,Neutral Pronation|Supination|Underpronation,High arch,Heel strike,Daily running,Orthotic friendly|Cushioned|Removable insole,Summer|All seasons,Normal,Knit,Breathable|Comfortable|Maximalist,Shin splints|Bunions,35.2 mm,24.6 mm,10.6 mm,17.0 HA,19.9 HA,17%,126 SA,,66.0%,,292.0,98.4 mm,103.0 mm,78.6 mm,81.8 mm,27.9 mm,115.6 mm,94.3 mm,5,0.46,17.3N,18.7N,22.3N,19%,3,5,0.8 mm,2.8 mm,69.1 HC,3.1 mm,1.2 mm,Sock like,Extended heel collar,Yes,True,5.0,4.0,3.0,No,Audience verdict 90 Great! Top 16% in road running shoes Top 15% in neutral running shoes,90,The Ultraboost 5 combines classic features with modern advancements such as Light Boost cushioning and a redesigned Primeknit upper.,"Enhanced midsole cushioning|Roomy, comfortable knit upper|Suitable for daily wear|Excellent durability|Optimized for heel strikers|Superior Continental outsole|More cushioned than ever before|Can handle forefoot strikers|Great for summer",Could still be lighter|Not suitable for fast paces|Potential for heel slippage,"Fans of the original Ultraboost who want a roomier fit with more toe splay and additional comfort, along with extra foam underfoot.|Those without a tight budget seeking a premium daily trainer featuring a superb knit upper.|Runners who casually go out for 1 to 3 runs per week and need a durable shoe that doubles as an everyday option for all life’s activities.","We think the Ultraboost 5, despite its improvements, still doesn't offer the best value for runners. While the shoe boasts a quality upper and durable outsole, it falls short in terms of weight. We've found in the lab that lighter and more responsive alternatives like the ASICS Novablast 4 and Hoka Clifton 9 provide better value.|And of course, price continues to be a significant factor with the Ultraboost. For those seeking a similar but more affordable option, the Adidas Ultrabounce is a worthy alternative. If you're interested in a shoe where the quality of the midsole justifies a premium price, consider the Saucony Triumph 22 .",207.74
